abandoned	5	1
accepted	11	3
accomplished	16	2
achieved	8	2
acquired	6	2
acted	10	4
added	13	3
admitted	11	1
adopted	14	2
advanced	13	3
affected	7	1
afforded	11	2
alienated	1	1
allured	1	1
altered	5	1
anticipated	9	2
approached	2	1
approved	7	2
arisen	8	7
asked	10	5
assembled	11	1
assigned	9	1
associated	6	1
assuaged	1	1
augmented	6	1
authorized	5	2
availed	1	1
awaited	1	1
awakened	4	2
beaten	2	1
been	496	408
believed	14	1
bestowed	9	6
blessed	13	3
blinded	3	1
borrowed	1	1
called	64	7
carried	17	2
caused	3	2
ceased	3	2
celebrated	6	1
centered	1	1
changed	13	6
cherished	12	1
chosen	23	8
commanded	4	1
commenced	3	1
committed	19	3
conciliated	1	1
concluded	5	2
conducted	6	3
confederated	6	1
conferred	8	3
confronted	2	1
considered	17	1
constructed	3	1
consumed	3	1
continued	20	2
contributed	13	7
convinced	7	1
corresponded	1	1
covered	2	1
created	25	1
decayed	1	1
declared	17	2
decreased	2	1
decreed	1	1
deemed	6	1
demanded	8	2
demonstrated	5	1
departed	2	1
derived	9	1
despaired	2	1
determined	28	2
developed	6	1
differed	2	1
disappeared	3	2
discharged	3	1
discovered	4	2
dispelled	3	1
displayed	5	2
dissipated	2	1
distracted	1	1
distributed	5	1
disturbed	8	1
divided	14	2
dreamed	3	2
drifted	1	1
dropped	1	1
earned	4	2
elapsed	4	3
elevated	4	1
emancipated	3	1
emerged	4	1
enabled	8	4
encountered	4	2
encouraged	6	1
endeavored	1	1
ended	5	1
endowed	6	1
endured	4	2
enjoyed	13	5
enlarged	11	1
enlightened	23	1
enslaved	2	1
ensured	1	1
entered	8	2
entitled	14	1
equaled	2	1
eroded	1	1
established	30	1
even	72	1
exalted	12	3
excited	7	1
exhibited	5	3
existed	11	3
expanded	6	1
experienced	5	1
exposed	4	1
expounded	1	1
extended	30	2
extorted	1	1
failed	14	4
fallen	9	7
fastened	1	1
filled	6	3
flattered	2	1
fled	2	2
flourished	2	1
followed	14	2
forced	9	2
forgotten	11	3
freed	5	1
fulfilled	7	1
gained	6	1
given	66	22
gotten	2	1
granted	23	3
helped	14	3
honored	10	1
imposed	13	1
improved	5	2
increased	16	3
indicated	5	2
inherited	3	2
initiated	2	1
inspired	7	2
intervened	1	1
intrusted	11	3
invested	7	2
itemized	1	1
languished	1	1
learned	15	12
led	15	4
lessened	1	1
liberated	3	1
lighted	3	1
lived	5	4
maintained	18	2
marched	5	4
men	142	1
merited	1	1
mistaken	4	1
moved	9	2
multiplied	4	2
need	79	2
negotiated	1	1
occupied	1	1
occurred	10	8
offered	5	1
opened	7	2
opposed	12	1
ordained	3	2
passed	38	18
perished	1	1
piled	2	1
placed	31	9
pledged	14	1
poured	2	1
practiced	4	1
preceded	3	2
prepared	13	1
presented	8	1
prevailed	7	3
proclaimed	6	2
produced	10	3
profaned	1	1
progressed	1	1
promoted	13	1
proposed	10	1
proved	17	8
questioned	5	1
raised	12	2
reached	12	4
reaped	1	1
reared	4	1
received	12	2
recoiled	1	1
reduced	7	1
referred	3	1
reformed	2	1
refused	3	1
regarded	7	1
registered	4	2
remained	5	1
remembered	9	1
reminded	4	1
removed	7	1
rendered	7	1
renewed	13	1
renounced	1	1
reposed	5	1
required	24	2
reserved	20	1
resolved	7	1
resorted	6	1
responded	1	1
restored	8	1
resulted	4	3
retained	3	2
returned	6	1
revived	5	1
risen	4	4
riveted	1	1
sacrificed	3	1
sanctioned	6	2
saved	6	1
scattered	4	1
secured	26	2
seemed	9	1
seen	30	16
seized	1	1
selected	9	1
sensed	3	1
separated	4	1
served	8	4
settled	24	1
severed	1	1
shaken	6	1
shared	10	2
shifted	1	1
shrunken	1	1
shunned	2	1
slowed	1	1
softened	1	1
spoken	7	4
squandered	1	1
started	2	1
stolen	1	1
strained	2	1
strangled	1	1
strengthened	17	4
studied	3	1
submitted	8	1
suffered	9	5
summoned	6	2
supported	15	1
supposed	12	1
surrendered	9	1
survived	3	2
taken	43	10
tasted	1	1
terminated	4	1
then	82	2
threatened	10	1
toppled	1	1
traded	1	1
traveled	4	2
treated	6	1
tried	9	1
turned	6	2
uncovered	2	1
undertaken	6	2
unfolded	1	1
united	203	1
used	15	2
usurped	1	1
visited	1	1
watched	4	1
waved	1	1
whitened	1	1
wished	4	1
witnessed	9	7
worked	4	2
written	14	1
